"A01AA","CARIES PROPHYLACTIC AGENTS"
"D01AE02","METHYLROSANILINE"
"D01AE04","UNDECYLENIC ACID"
"D01AE07","CHLORPHENESIN"
"D01AE13","SELENIUM SULFIDE"
"D01AE14","CICLOPIROX"
"D01AE15","TERBINAFINE"
"D01AE18","TOLNAFTATE"
"D01AE20","COMBINATIONS"
"D01AE22","NAFTIFINE"
"D01AE23","BUTENAFINE"
"D01BA01","GRISEOFULVIN"
"D01BA02","TERBINAFINE"
"D02AA","SILICONE PRODUCTS"
"D02AB","ZINC PRODUCTS"
"D02AC","SOFT PARAFFIN AND FAT PRODUCTS"
"D02AD","LIQUID PLASTERS"
"D02AE01","CARBAMIDE"
"D02AE51","CARBAMIDE, COMBINATIONS"
"D02AF","SALICYLIC ACID PREPARATIONS"
"D02AX","OTHER EMOLLIENTS AND PROTECTIVES"
"D02B","PROTECTIVES AGAINST UV-RADIATION"
"D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE"
"D02BA01","AMINOBENZOIC ACID"
"D02BA02","OCTYL METHOXYCINNAMATE"
"D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION"
"D03AA","COD-LIVER OIL OINTMENTS"
"D03AX","OTHER CICATRIZANTS"
"D03AX06","BECAPLERMIN"
"D03BA","PROTEOLYTIC ENZYMES"
"D03BA02","COLLAGENASE"
"D04AA04","TRIPELENNAMINE"
"D04AA10","PROMETHAZINE"
"D04AA32","DIPHENHYDRAMINE"
"D04AB","ANESTHETICS FOR TOPICAL USE"
"D04AB01","LIDOCAINE"
"D04AB02","CINCHOCAINE"
"D04AB04","BENZOCAINE"
"D04AB06","TETRACAINE"
"D04AB07","PRAMOCAINE"
"D04AB30","TOPICAL ANESTHETICS, COMBINATIONS"
"D04AB51","LIDOCAINE, COMBINATIONS"
"D04AB54","BENZOCAINE, COMBINATIONS"
"D04AX","OTHER ANTIPRURITICS"
"D05AA","TARS"
"D05AC01","DITHRANOL"
"D05AD02","METHOXALEN, TOPICAL"
"D05AX02","CALCIPOTRIOL"
"D05AX03","CALCITRIOL"
"D05AX05","TAZAROTENE"
"D05AX52","CALCIPOTRIOL, COMBINATIONS"
"D05BA01","TRIOXYSALEN, SYSTEMIC"
"D05BA02","METHOXALEN, SYSTEMIC"
"D05BB02","ACITRETIN"
"D06AA02","CHLORTETRACYCLINE"
"D06AX01","FUSIDIC ACID"
"D06AX04","NEOMYCIN"
"D06AX05","BACITRACIN"
"D06AX07","GENTAMICIN"
"D06AX09","MUPIROCIN"
"D06AX30","COMBINATIONS OF ANTIBIOTICS"
"D06AX55","BACITRACIN, COMBINATIONS"
"D06BA01","SILVER SULFADIAZINE"
"D06BA03","MAFENIDE"
"D06BA51","SILVER SULFADIAZINE, COMBINATIONS"
"D06BB01","IDOXURIDINE"
"D06BB03","ACICLOVIR"
"D06BB04","PODOPHYLLOTOXIN"
"D06BB06","PENCICLOVIR"
"D06BB09","EDOXUDINE"
"D06BB10","IMIQUIMOD"
"D06BB11","DOCOSANOL"
"D06BB12","Sinecatechins"
"D06BB53","ACICLOVIR, COMBINATIONS"
"D06BB54","PODOPHYLLIN, COMBINATIONS"
"D06BX01","METRONIDAZOLE"
"D06BX02","ingenol mebutate"
"D07AA01","METHYLPREDNISOLONE"
"D07AA02","HYDROCORTISONE"
"D07AB01","CLOBETASONE"
"D07AB03","FLUMETASONE"
"D07AB08","DESONIDE"
"D07AB09","TRIAMCINOLONE"
"D07AC01","BETAMETHASONE"
"D07AC03","DESOXIMETASONE"
"D07AC04","FLUOCINOLONE ACETONIDE"
"D07AC06","DIFLUCORTOLONE"
"D07AC07","FLUDROXYCORTIDE"
"D07AC08","FLUOCINONIDE"
"D07AC10","DIFLORASONE"
"D07AC11","AMCINONIDE"
"D07AC13","MOMETASONE"
"D07AC15","BECLOMETASONE"
"D07AC17","FLUTICASONE"
"D07AC18","PREDNICARBATE"
"D07AC21","ULOBETASOL"
"D07AC30","COMBINATIONS OF CORTICOSTEROIDS"
"D07AD01","CLOBETASOL"
"D07AD02","HALCINONIDE"
"D07CA01","HYDROCORTISONE AND ANTIBIOTICS"
"D07CA02","METHYLPREDNISOLONE AND ANTIBIOTICS"
"D07CB01","TRIAMCINOLONE AND ANTIBIOTICS"
"D07CB05","FLUMETASONE AND ANTIBIOTICS"
"D07CC01","BETAMETHASONE AND ANTIBIOTICS"
"D07CC05","FLUOCINONIDE AND ANTIBIOTICS"
"D07XA01","HYDROCORTISONE"
"D07XB01","FLUMETASONE"
"D07XC01","BETAMETHASONE"
"D07XC04","DIFLUCORTOLONE"
"D08AA02","AMINOACRIDINE"
"D08AB","ALUMINIUM AGENTS"
"D08AC02","CHLORHEXIDINE"
"D08AC04","HEXAMIDINE"
"D08AC52","CHLORHEXIDINE, COMBINATIONS"
"D08AD","BORIC ACIDPRODUCTS"
"D08AE01","HEXACHLOROPHENE"
"D08AE02","METACRESOLSULPHONIC ACID-FORMALDEHYDE"
"D08AE03","PHENOL"
"D08AE04","TRICLOSAN"
"D08AE05","CHLOROXYLENOL"
"D08AE20","COMBINATIONS, OF PHENOL AND DERIVATIVES"
"D08AE53","PHENOL, COMBINATIONS"
"D08AE54","TRICLOSAN, COMBINATIONS"
"D08AE55","CHLOROXYLENOL, COMBINATIONS"
"D08AF01","NITROFURAL"
"D08AG","IODINE PRODUCTS"
"D08AG02","POVIDONE-IODINE"
"D08AG03","IODINE"
"D08AG52","POVIDONE-IODINE, COMBINATIONS"
"D08AG53","IODINE, COMBINATIONS"
"D08AH30","CLIOQUINOL"
"D08AJ01","BENZALKONIUM"
"D08AJ02","CETRIMONIUM"
"D08AJ04","CETRIMIDE"
"D08AJ08","BENZETHONIUM CHLORIDE"
"D08AJ51","BENZALKONIUM, COMBINATIONS"
"D08AJ58","BENZETHONIUM CHLORIDE, COMBINATIONS"
"D08AX","OTHER ANTISEPTICS AND DISINFECTANTS"
"D08AX01","HYDROGEN PEROXIDE"
"D08AX04","TOSYLCHLORAMIDE SODIUM"
"D08AX05","ISOPROPANOL"
"D08AX07","SODIUM HYPOCHLORITE"
"D08AX08","ETHANOL"
"D08AX55","ISOPROPANOL, COMBINATIONS"
"D08AX58","ETHANOL, COMBINATIONS"
"D09AA01","FRAMYCETIN"
"D09AA02","FUSIDIC ACID"
"D09AA08","ALUMINIUM CHLOROHYDRATE"
"D09AA09","POVIDONE-IODINE"
"D09AA12","CHLORHEXIDINE"
"D09AA13","IODOFORM"
"D09AA20","COMBINATIONS OF ANTIINFECTIVES"
"D09AB01","ZINC BANDAGE WITHOUT SUPPLEMENTS"
"D09AX","SOFT PARAFFIN DRESSINGS"
"D10AA","CORTICOSTEROIDS,COMBINATIONS FOR TREATMENT OF ACNE"
"D10AA02","METHYLPREDNISOLONE"
"D10AB02","SULPHUR"
"D10AB52","SULPHUR, COMBINATIONS"
"D10AD01","TRETINOIN"
"D10AD03","ADAPALENE"
"D10AD04","ISOTRETINOIN"
"D10AD51","TRETINOIN, COMBINATIONS"
"D10AD53","ADAPALENE, COMBINATIONS"
"D10AE01","BENZOYL PEROXIDE"
"D10AE51","BENZOYL PEROXIDE, COMBINATIONS"
"D10AF01","CLINDAMYCIN"
"D10AF51","CLINDAMYCIN, COMBINATIONS"
"D10AF52","ERYTHROMYCIN, COMBINATIONS"
"D10AF53","CHLORAMPHENICOL, COMBINATIONS"
"D10AX03","AZELAIC ACID"
"D10AX04","ALUMINIUM OXIDE"
"D10AX05","DAPSONE"
"D10AX30","VARIOUS COMBINATIONS"
"D10BA01","ISOTRETINOIN"
"D11AA","ANTIHIDROTICS"
"D11AC","MEDICATED SHAMPOOS"
"D11AC01","CETRIMIDE"
"D11AC03","SELENIUM COMPOUNDS"
"D11AC06","POVIDONE-IODINE"
"D11AC08","SULPHUR COMPOUNDS"
"D11AC30","OTHERS"
"D11AF","WART AND ANTI-CORN PREPARATIONS"
"D11AH01","TACROLIMUS"
"D11AH02","PIMECROLIMUS"
"D11AH04","ALITRETINOIN"
"D11AX","OTHER DERMATOLOGICALS"
"D11AX01","MINOXIDIL, TOPICAL"
"D11AX05","MAGNESIUM SULFATE"
"D11AX10","FINASTERIDE"
"D11AX11","HYDROQUINONE"
"D11AX12","PYRITHIONE ZINC"
"D11AX13","MONOBENZONE"
"D11AX16","EFLORNITHINE"
"D11AX21","BRIMONIDINE"
"D11AX56","MEQUINOL, COMBINATIONS"
"G01AA01","NYSTATIN"
"G01AA10","CLINDAMYCIN"
"G01AA51","NYSTATIN, COMBINATIONS"
"G01AC30","OXYQUINOLINE"
"G01AC51","DIIODOHYDROXYQUINOLINE, COMBINATIONS"
"G01AC52","CLIOQUINOL, COMBINATIONS"
"G01AD01","LACTIC ACID"
"G01AE","SULFONAMIDES"
"G01AE10","COMBINATIONS OF SULFONAMIDES"
"G01AF01","METRONIDAZOLE"
"G01AF02","CLOTRIMAZOLE"
"G01AF04","MICONAZOLE"
"G01AF05","ECONAZOLE"
"G01AF08","TIOCONAZOLE"
"G01AF15","BUTOCONAZOLE"
"G01AG02","TERCONAZOLE"
"G01AX","OTHER ANTIINFECTIVES AND ANTISEPTICS"
"G01AX11","POVIDONE-IODINE"
"G02AB03","ERGOMETRINE"
"G02AD01","DINOPROST"
"G02AD02","DINOPROSTONE"
"G02AD04","CARBOPROST"
"G02BA03","PLASTIC IUD WITH PROGESTOGENS"
"G02BB01","VAGINAL RING WITH PROGESTOGEN AND ESTROGEN"
"G02CA01","RITODRINE"
"G02CB01","BROMOCRIPTINE"
"G02CB03","CABERGOLINE"
"G02CB04","QUINAGOLIDE"
"G03AA01","ETYNODIOL AND ESTROGEN"
"G03AA05","NORETHISTERONE AND ESTROGEN"
"G03AA06","NORGESTREL AND ESTROGEN"
"G03AA07","LEVONORGESTREL AND ESTROGEN"
"G03AA09","DESOGESTREL AND ESTROGEN"
"G03AA11","NORGESTIMATE AND ESTROGEN"
"G03AA12","DROSPIRENONE AND ESTROGEN"
"G03AA13","NORELGESTROMIN AND ESTROGEN"
"G03AB03","LEVONORGESTREL AND ESTROGEN"
"G03AB04","NORETHISTERONE AND ESTROGEN"
"G03AB05","DESOGESTREL AND ESTROGEN"
"G03AB11","NORGESTIMATE AND ESTROGEN"
"G03AC01","NORETHISTERONE"
"G03AC03","LEVONORGESTREL"
"G03AC06","MEDROXYPROGESTERONE"
"G03AD01","LEVONORGESTREL"
"G03BA01","FLUOXYMESTERONE"
"G03BA02","METHYLTESTOSTERONE"
"G03BA03","TESTOSTERONE"
"G03CA","NATURAL AND SEMISYNTHETIC ESTROGENS, PLAIN"
"G03CA01","ETHINYLESTRADIOL"
"G03CA03","ESTRADIOL"
"G03CA07","ESTRONE"
"G03CA57","CONJUGATED ESTROGENS"
"G03CB01","DIENESTROL"
"G03CB02","DIETHYLSTILBESTROL"
"G03DA02","MEDROXYPROGESTERONE"
"G03DA04","PROGESTERONE"
"G03DB03","MEDROGESTONE"
"G03DB08","Dienogest"
"G03DC02","NORETHISTERONE"
"G03EA02","TESTOSTERONE AND ESTROGEN"
"G03FA01","NORETHISTERONE AND ESTROGEN"
"G03FA03","ETHISTERONE AND ESTROGEN"
"G03FA04","PROGESTERONE AND ESTROGEN"
"G03FA11","LEVONORGESTREL AND ESTROGEN"
"G03FA12","MEDROXYPROGESTERONE AND ESTROGEN"
"G03FA17","DROSPIRENONE AND ESTROGEN"
"G03FB05","NORETHISTERONE AND ESTROGEN"
"G03GA01","CHORIONIC GONADOTROPHIN"
"G03GA02","HUMAN MENOPAUSAL GONADOTROPHIN"
"G03GA04","UROFOLLITROPIN"
"G03GA05","FOLLITROPIN ALFA"
"G03GA06","FOLLITROPIN BETA"
"G03GA07","LUTROPIN ALFA"
"G03GA08","CHORIOGONADOTROPIN ALFA"
"G03GB02","CLOMIFENE"
"G03HA01","CYPROTERONE"
"G03HB01","CYPROTERONE AND ESTROGEN"
"G03XA01","DANAZOL"
"G03XB02","ULIPRISTAL"
"G03XC01","RALOXIFENE"
"G04BC","URINARY CONCREMENT SOLVENTS"
"G04BD","URINARY ANTISPASMODICS"
"G04BD02","FLAVOXATE"
"G04BD04","OXYBUTYNIN"
"G04BD07","TOLTERODINE"
"G04BD08","SOLIFENACIN"
"G04BD09","TROSPIUM"
"G04BD10","DARIFENACIN"
"G04BD11","FESOTERODINE"
"G04BE01","ALPROSTADIL"
"G04BE03","SILDENAFIL"
"G04BE04","YOHIMBIN"
"G04BE08","TADALAFIL"
"G04BE09","VARDENAFIL"
"G04BX06","PHENAZOPYRIDINE"
"G04BX13","DIMETHYL SULFOXIDE"
"G04CA01","ALFUZOSIN"
"G04CA02","TAMSULOSIN"
"G04CA03","TERAZOSIN"
"G04CA04","SILODOSIN"
"G04CA52","TAMSULOSIN AND DUTASTERIDE"
"G04CB01","FINASTERIDE"
"G04CB02","DUTASTERIDE"
"H01AA01","CORTICOTROPHIN"
"H01AA02","TETRACOSACTIDE"
"H01AC01","SOMATROPIN"
"H01AC02","SOMATREM"
"H01AX01","PEGVISOMANT"
"H01BA01","VASOPRESSIN"
"H01BA02","DESMOPRESSIN"
"H01BB02","OXYTOCIN"
"H01BB03","CARBETOCIN"
"H01CA01","GONADORELIN"
"H01CA02","NAFARELIN"
"H01CB01","SOMATOSTATIN"
"H01CB02","OCTREOTIDE"
"H01CB03","LANREOTIDE"
"H01CB05","Pasireotide"
"H01CC01","GANIRELIX"
"H01CC02","CETRORELIX"
"H02AA02","FLUDROCORTISONE"
"H02AB01","BETAMETHASONE"
"H02AB02","DEXAMETHASONE"
"H02AB04","METHYLPREDNISOLONE"
"H02AB06","PREDNISOLONE"
"H02AB07","PREDNISONE"
"H02AB08","TRIAMCINOLONE"
"H02AB09","HYDROCORTISONE"
"H02AB10","CORTISONE"
"H02AB57","PREDNISONE, COMBINATIONS"
"H02BX01","METHYLPREDNISOLONE, COMBINATIONS"
"H03AA01","LEVOTHYROXINE SODIUM"
"H03AA02","LIOTHYRONINE SODIUM"
"H03AA05","THYROID GLAND PREPARATIONS"
"H03BA02","PROPYLTHIOURACIL"
"H03BB02","THIAMAZOLE"
"H03CA","IODINE THERAPY"
"H04AA01","GLUCAGON"
"H05AA02","TERIPARATIDE"
"H05BA01","CALCITONIN (SALMON SYNTHETIC)"
"H05BX01","CINACALCET"
"H05BX02","PARICALCITOL"
"H05BX03","DOXERCALCIFEROL"
"J01AA01","DEMECLOCYCLINE"
"J01AA02","DOXYCYCLINE"
"J01AA07","TETRACYCLINE"
"J01AA08","MINOCYCLINE"
"J01AA09","ROLITETRACYCLINE"
"J01AA12","TIGECYCLINE"
"J01BA01","CHLORAMPHENICOL"
"J01CA01","AMPICILLIN"
"J01CA02","PIVAMPICILLIN"
"J01CA04","AMOXICILLIN"
"J01CA06","BACAMPICILLIN"
"J01CA08","PIVMECILLINAM"
"J01CA12","PIPERACILLIN"
"J01CA13","TICARCILLIN"
"J01CA51","AMPICILLIN, COMBINATIONS"
"J01CE01","BENZYLPENICILLIN"
"J01CE02","PHENOXYMETHYLPENICILLIN"
"J01CE08","BENZATHINE BENZYLPENICILLIN"
"J01CE09","PROCAINE PENICILLIN"
"J01CE10","BENZATHINE PHENOXYMETHYLPENICILLIN"
"J01CE30","COMBINATIONS"
"J01CF","BETA-LACTAMASE RESISTANT PENICILLINS"
"J01CF02","CLOXACILLIN"
"J01CF05","FLUCLOXACILLIN"
"J01CR02","AMOXICILLIN AND ENZYME INHIBITOR"
"J01CR03","TICARCILLIN AND ENZYME INHIBITOR"
"J01CR05","PIPERACILLIN AND ENZYME INHIBITOR"
"J01DB01","CEFALEXIN"
"J01DB03","CEFALOTIN"
"J01DB04","CEFAZOLIN"
"J01DB05","CEFADROXIL"
"J01DC01","CEFOXITIN"
"J01DC02","CEFUROXIME"
"J01DC03","CEFAMANDOLE"
"J01DC04","CEFACLOR"
"J01DC05","CEFOTETAN"
"J01DC10","CEFPROZIL"
"J01DD01","CEFOTAXIME"
"J01DD02","CEFTAZIDIME"
"J01DD04","CEFTRIAXONE"
"J01DD07","CEFTIZOXIME"
"J01DD08","CEFIXIME"
"J01DE01","CEFEPIME"
"J01DF01","AZTREONAM"
"J01DH02","MEROPENEM"
"J01DH03","ERTAPENEM"
"J01DH04","DORIPENEM"
"J01DH51","IMIPENEM AND ENZYME INHIBITOR"
"J01DI01","CEFTOBIPROLE MEDOCARIL"
"J01EA01","TRIMETHOPRIM"
"J01EB04","SULFAPYRIDINE"
"J01EB05","SULFAFURAZOLE"
"J01EC01","SULFAMETHOXAZOLE"
"J01EC02","SULFADIAZINE"
"J01EE01","SULFAMETHOXAZOLE AND TRIMETHOPRIM"
"J01EE02","SULFADIAZINE AND TRIMETHOPRIM"
"J01FA01","ERYTHROMYCIN"
"J01FA02","SPIRAMYCIN"
"J01FA09","CLARITHROMYCIN"
"J01FA10","AZITHROMYCIN"
"J01FA15","TELITHROMYCIN"
"J01FF01","CLINDAMYCIN"
"J01FF02","LINCOMYCIN"
"J01FG02","QUINOPRISTIN AND DALFOPRISTIN"
"J01GA01","STREPTOMYCIN"
"J01GB01","TOBRAMYCIN"
"J01GB03","GENTAMICIN"
"J01GB05","NEOMYCIN"
"J01GB06","AMIKACIN"
"J01GB07","NETILMICIN"
"J01MA01","OFLOXACIN"
"J01MA02","CIPROFLOXACIN"
"J01MA06","NORFLOXACIN"
"J01MA11","GREPAFLOXACIN"
"J01MA12","LEVOFLOXACIN"
"J01MA13","TROVAFLOXACIN"
"J01MA14","MOXIFLOXACIN"
"J01MA15","GEMIFLOXACIN"
"J01MA16","GATIFLOXACIN"
"J01MB02","NALIDIXIC ACID"
"J01RA02","SULFONAMIDES,COMBINATIONS WITH OTHER ANTIBACTERIALS (EXCL.TRIMETHOPRIM)"
"J01XA01","VANCOMYCIN"
"J01XB01","COLISTIN"
"J01XB02","POLYMYXIN B"
"J01XC01","FUSIDIC ACID"
"J01XD01","METRONIDAZOLE"
"J01XE01","NITROFURANTOIN"
"J01XX01","FOSFOMYCIN"
"J01XX04","SPECTINOMYCIN"
"J01XX05","METHENAMINE"
"J01XX08","LINEZOLID"
"J01XX09","DAPTOMYCIN"
"J01XX10","BACITRACIN"
"J01XX55","METHENAMINE, COMBINATIONS"
"J02AA01","AMPHOTERICIN B"
"J02AB02","KETOCONAZOLE"
"J02AC01","FLUCONAZOLE"
"J02AC02","ITRACONAZOLE"
"J02AC03","VORICONAZOLE"
"J02AC04","POSACONAZOLE"
"J02AX04","CASPOFUNGIN"
"J02AX05","MICAFUNGIN"
"J02AX06","ANIDULAFUNGIN"
"J04AA02","SODIUM AMINOSALICYLATE"
"J04AB01","CYCLOSERINE"
"J04AB02","RIFAMPICIN"
"J04AB04","RIFABUTIN"
"J04AB30","CAPREOMYCIN"
"J04AC01","ISONIAZID"
"J04AC51","ISONIAZID, COMBINATIONS"
"J04AK01","PYRAZINAMIDE"
"J04AK02","ETHAMBUTOL"
"J04AM05","RIFAMPICIN,PYRAZINAMIDE AND ISONIAZID"
"J04BA02","DAPSONE"
"J05AB01","ACYCLOVIR"
"J05AB04","RIBAVIRIN"
"J05AB06","GANCICLOVIR"
"J05AB09","FAMCICLOVIR"
"J05AB11","VALACICLOVIR"
"J05AB14","VALGANCICLOVIR"
"J05AE","PROTEASE INHIBITORS"
"J05AE01","SAQUINAVIR"
"J05AE02","INDINAVIR"
"J05AE03","RITONAVIR"
"J05AE04","NELFINAVIR"
"J05AE05","AMPRENAVIR"
"J05AE06","LOPINAVIR"
"J05AE07","FOSAMPRENAVIR"
"J05AE08","ATAZANAVIR"
"J05AE09","TIPRANAVIR"
"J05AE10","DARUNAVIR"
"J05AE11","Telaprevir"
"J05AE12","Boceprevir"
"J05AE30","COMBINATIONS OF PROTEASE INHIBITORS"
"J05AF01","ZIDOVUDINE"
"J05AF02","DIDANOSINE"
"J05AF03","ZALCITABINE"
"J05AF04","STAVUDINE"
"J05AF05","LAMIVUDINE"
"J05AF06","ABACAVIR"
"J05AF07","TENOFOVIR DISOPROXIL"
"J05AF08","ADEFOVIR DIPIVOXIL"
"J05AF09","EMTRICITABINE"
"J05AF10","ENTECAVIR"
"J05AF11","TELBIVUDINE"
"J05AG01","NEVIRAPINE"
"J05AG02","DELAVIRDINE"
"J05AG03","EFAVIRENZ"
"J05AG04","ETRAVIRINE"
"J05AG05","Rilpivirine"
"J05AH01","ZANAMIVIR"
"J05AH02","OSELTAMIVIR"
"J05AR","ANTIVIRALS FOR TREATMENT OF HIV INFECTIONS, COMBINATIONS"
"J05AR01","ZIDOVUDINE AND LAMIVUDINE"
"J05AR02","LAMIVUDINE AND ABACAVIR"
"J05AR03","TENOFOVIR DISOPROXIL AND EMTRICITABINE"
"J05AR04","ZIDOVUDINE, LAMIVUDINE AND ABACAVIR"
"J05AR06","EMTRICITABINE,TENOFOVIR DISOPROXIL AND EFAVIRENZ"
"J05AR08","Emtricitabine, tenofovir disoproxil and rilpivirine"
"J05AR09","Emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat"
"J05AR14","Darunavir and cobicistat"
"J05AX","OTHER ANTIVIRALS"
"J05AX05","INOSINE PRANOBEX"
"J05AX07","ENFUVIRTIDE"
"J05AX08","RALTEGRAVIR"
"J05AX09","MARAVIROC"
"J05AX12","DOLUTEGRAVIR"
"J06AA01","DIPHTERIA ANTITOXIN"
"J06AA03","SNAKE VENOM ANTISERUM"
"J06AA04","BOTULINUM ANTITOXIN"
"J06BA01","IMMUNOGLOBULINS, NORMAL HUMAN, FOR EXTRAVASC. ADM"
"J06BA02","IMMUNOGLOBULINS, NORMAL HUMAN, FOR INTRAVASC. ADM."
"J06BB01","ANTI-D (RH) IMMUNOGLOBULIN"
"J06BB02","TETANUS IMMUNOGLOBULIN"
"J06BB03","VARICELLA/ZOSTER IMMUNOGLOBULIN"
"J06BB04","HEPATITIS B IMMUNOGLOBULIN"
"J06BB05","RABIES IMMUNOGLOBULIN"
"J06BB09","CYTOMEGALOVIRUS IMMUNOGLOBULIN"
"J06BB16","PALIVIZUMAB"
"J07AE01","CHOLERA, INACTIVATED, WHOLE CELL"
"J07AE02","CHOLERA, LIVE ATTENUATED"
"J07AF01","DIPHTHERIA TOXOID"
"J07AG","HEMOPHILUSINFLUENZAE B VACCINES"
"J07AG01","HEMOPHILUS INFLUENZAE B, PURIFIED ANTIG. CONJUGATED"
"J07AG51","HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH TOXOIDS"
"J07AH","MENINGOCOCCAL VACCINES"
"J07AH03","Meningococcus A, C, bivalent purified polysacc. antigen"
"J07AH04","Meningococcus, A, C, Y, W-135, Tetraval. purified polysacc. antigen"
"J07AH07","MENINGOCOCCUS C, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"
"J07AH08","Meningococcus, A, C, Y, W-135, tetraval. purified polysacc. antigen conjugated"
"J07AH09","Meningococcus B, multicomponent vaccine"
"J07AJ01","PERTUSSIS, INACTIVATED, WHOLE CELL"
"J07AJ02","PERTUSSIS, PURIFIED ANTIGEN"
"J07AJ51","PERTUSSIS, INACT., WHOLE CELL, COMB. WITH TOXOIDS"
"J07AJ52","PERTUSSIS, PURIFIED ANTIGEN, COMB. WITH TOXOIDS"
"J07AL02","PNEUMOCOCCUS, PURIFIED POLYSACC.ANTIGEN CONJUGATED"
"J07AM01","TETANUS TOXOID"
"J07AM51","TETANUS TOXOID, COMB. WITH DIPHTHERIA TOXOID"
"J07AN01","TUBERCULOSIS, LIVE ATTENUATED"
"J07AP01","TYPHOID, ORAL, LIVE ATTENUATED"
"J07AP02","TYPHOID, INACTIVATED, WHOLE CELL"
"J07AP03","TYPHOID, PURIFIED POLYSACCHARIDE ANTIGEN"
"J07AX","OTHER BACTERIAL VACCINES"
"J07BA01","ENCEPHALITIS, TICK BORNE, INACTIVATED, WHOLE VIRUS"
"J07BA02","ENCEPHALITIS, JAPANESE, INACTIVATED, WHOLE VIRUS"
"J07BB01","INFLUENZA, INACTIVATED, WHOLE VIRUS"
"J07BB02","INFLUENZA, INACTIVATED, SPLIT VIRUS OR SURFACE ANTIGEN"
"J07BB03","INFLUENZA, LIVE ATTENUATED"
"J07BC01","HEPATITIS B, PURIFIED ANTIGEN"
"J07BC02","HEPATITIS A, INACTIVATED, WHOLE VIRUS"
"J07BC20","COMBINATIONS"
"J07BD01","MORBILLI, LIVE ATTENUATED"
"J07BD52","MEASLES,COMBIN. WITH MUMPS AND RUBELLA,LIVE ATTENUATED"
"J07BD53","MORBILLI, COMB. WITH RUBELLA, LIVE ATTENUATED"
"J07BD54","MEASLES, COMBINATIONS WITH MUMPS, RUBELLA AND VARICELLA, LIVE ATTENUATED"
"J07BE01","PAROTITIS, LIVE ATTENUATED"
"J07BF02","POLIOMYELITIS ORAL, TRIVALENT, LIVE ATTENUATED"
"J07BF03","POLIOMYELITIS, TRIVALENT, INACTIVATED, WHOLE VIRUS"
"J07BG01","RABIES, INACTIVATED, WHOLE VIRUS"
"J07BH01","ROTA VIRUS, LIVE ATTENUATED"
"J07BH02","ROTAVIRUS,PENTAVALENT,LIVE,REASSORTED"
"J07BJ01","RUBELLA, LIVE ATTENUATED"
"J07BK01","VARICELLA, LIVE ATTENUATED"
"J07BK02","ZOSTER, LIVE ATTENUATED"
"J07BL01","YELLOW FEVER, LIVE ATTENUATED"
"J07BM01","PAPILLOMAVIRUS (HUMAN TYPES 6,11,16,18)"
"J07BM02","PAPILLOMAVIRUS (HUMAN TYPES 16,18)"
"J07BX","OTHER VIRAL VACCINES"
"J07CA","BACTERIAL AND VIRAL VACCINES, COMBINED"
"J07CA01","DIPHTHERIA-POLIOMYELITIS-TETANUS"
"J07CA02","DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS"
"J07CA06","DIPHT-HEMOPH INFLUEN B-PERTUSS-POLIO-TETANUS"
"J07CA10","TYPHOID-HEPATITIS A"
"J07X","OTHER VACCINES"
"L01AA01","CYCLOPHOSPHAMIDE"
"L01AA02","CHLORAMBUCIL"
"L01AA03","MELPHALAN"
"L01AA05","CHLORMETHINE"
"L01AA06","IFOSFAMIDE"
"L01AA09","BENDAMUSTINE"
"L01AB01","BUSULFAN"
"L01AC01","THIOTEPA"
"L01AD01","CARMUSTINE"
"L01AD02","LOMUSTINE"
"L01AD04","STREPTOZOCIN"
"L01AX03","TEMOZOLOMIDE"
"L01AX04","DACARBAZINE"
"L01BA01","METHOTREXATE"
"L01BA03","RALTITREXED"
"L01BA04","PEMETREXED"
"L01BB02","MERCAPTOPURINE"
"L01BB03","TIOGUANINE"
"L01BB04","CLADRIBINE"
"L01BB05","FLUDARABINE"
"L01BB06","CLOFARABINE"
"L01BB07","NELARABINE"
"L01BC01","CYTARABINE"
"L01BC02","FLUOROURACIL"
"L01BC05","GEMCITABINE"
"L01BC06","CAPECITABINE"
"L01BC07","AZACITIDINE"
"L01CA01","VINBLASTINE"
"L01CA02","VINCRISTINE"
"L01CA03","VINDESINE"
"L01CA04","VINORELBINE"
"L01CB01","ETOPOSIDE"
"L01CB02","TENIPOSIDE"
"L01CD01","PACLITAXEL"
"L01CD02","DOCETAXEL"
"L01CD04","Cabazitaxel"
"L01CX01","TRABECTEDIN"
"L01DA01","DACTINOMYCIN"
"L01DB01","DOXORUBICIN"
"L01DB02","DAUNORUBICIN"
"L01DB03","EPIRUBICIN"
"L01DB06","IDARUBICIN"
"L01DB07","MITOXANTRONE"
"L01DB09","VALRUBICIN"
"L01DC01","BLEOMYCIN"
"L01DC03","MITOMYCIN"
"L01XA01","CISPLATIN"
"L01XA02","CARBOPLATIN"
"L01XA03","OXALIPLATIN"
"L01XB01","PROCARBAZINE"
"L01XC02","RITUXIMAB"
"L01XC03","TRASTUZUMAB"
"L01XC06","CETUXIMAB"
"L01XC07","BEVACIZUMAB"
