"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES"
"14821","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14822","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14823","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14824","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14825","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14826","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14827","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14828","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14829","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1483","J01CE10","BENZATHINE PHENOXYMETHYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS"
"14830","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14831","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14832","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14833","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14834","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14835","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14836","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14837","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14838","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14839","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1484","J01CE02","PHENOXYMETHYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS"
"14840","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14841","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14842","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14843","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14844","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14845","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14846","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14847","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14848","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14849","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1485","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"14850","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14851","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14852","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14853","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14854","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14855","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14856","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14857","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14858","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14859","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1486","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"14860","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14861","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14862","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14863","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14864","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14865","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14866","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14867","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14868","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14869","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1487","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"14870","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14871","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14872","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14873","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14874","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14875","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14876","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14877","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14878","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14879","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1488","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"14880","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14881","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14882","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14883","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14884","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14885","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14886","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14887","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14888","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14889","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1489","","","88:28.00","MULTIVITAMIN PREPARATIONS"
"14890","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14891","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14892","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14893","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14894","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14895","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14896","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14897","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14898","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14899","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1490","N06CA01","AMITRIPTYLINE AND PSYCHOLEPTICS","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS"
"1490","N06CA01","AMITRIPTYLINE AND PSYCHOLEPTICS","28:16.08.24","PHENOTHIAZINES"
"14900","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14901","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14902","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14903","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14904","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14905","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14906","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14907","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14908","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14909","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1491","C01BA01","QUINIDINE","24:04.04.04","CLASS IA ANTIARRYTHMICS"
"14910","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14911","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14912","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14913","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14914","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14915","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14916","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14917","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14918","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14919","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1492","D10AB02","SULPHUR","84:28.00","KERATOLYTIC AGENTS"
"14920","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14921","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14922","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14923","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14924","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14925","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14926","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14927","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14928","C07AA06","TIMOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"14929","C07AA06","TIMOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"1493","V07AX","WASHING AGENTS ETC.","84:20.00","DETERGENTS"
"14930","C07AA06","TIMOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"14931","M04AB02","SULFINPYRAZONE","40:40.00","URICOSURIC AGENTS"
"14932","M04AB02","SULFINPYRAZONE","40:40.00","URICOSURIC AGENTS"
"14933","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"14934","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"14935","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"14936","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"14937","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"14938","J01FA01","ERYTHROMYCIN","08:12.12.04","ERYTHROMYCINS"
"14939","J01AA02","DOXYCYCLINE","08:12.24","TETRACYCLINES"
"1494","D10AX30","VARIOUS COMBINATIONS","84:32.00","KERATOPLASTIC AGENTS"
"14940","J01AA02","DOXYCYCLINE","08:12.24","TETRACYCLINES"
"14941","N03AF01","CARBAMAZEPINE","28:12.92","MISCELLANEOUS ANTICONVULSANTS"
"14942","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14943","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14944","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14945","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14946","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14947","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14948","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14949","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14950","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14951","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14952","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14953","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14954","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14955","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14956","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14957","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14958","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14959","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1496","R03CB03","ORCIPRENALINE","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"14960","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14961","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14962","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14963","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14964","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14965","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14966","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14967","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14968","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14969","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14970","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14971","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14972","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14973","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14974","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14975","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14976","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14977","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14978","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14979","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14980","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14981","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14982","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14983","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14984","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14985","D02AF","SALICYLIC ACID PREPARATIONS","84:28.00","KERATOLYTIC AGENTS"
"14986","A11CB","VITAMIN A AND D IN COMBINATION","88:04.01*","VITAMIN A AND D"
"14987","D02AB","ZINC PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS"
"14988","D10AB02","SULPHUR","84:28.00","KERATOLYTIC AGENTS"
"14989","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS"
"1499","N05BA04","OXAZEPAM","28:24.08","BENZODIAZEPINES"
"14990","A11BA","MULTIVITAMINS, PLAIN","88:28.00","MULTIVITAMIN PREPARATIONS"
"14991","A11AA01","MULTIVITAMINS AND IRON","88:28.01*","VITAMINS & MINERALS"
"14992","A11BA","MULTIVITAMINS, PLAIN","88:28.00","MULTIVITAMIN PREPARATIONS"
"14993","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14994","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14995","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14996","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14997","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14998","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"14999","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"150","C01AA05","DIGOXIN","24:04.00","CARDIAC DRUGS"
"15000","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15005","V03AN01","OXYGEN","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS"
"15009","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15010","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15011","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15012","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15013","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15014","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15015","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15016","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15017","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15018","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15019","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15020","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15021","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15022","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15023","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15024","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15025","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15026","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15027","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15028","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15029","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15030","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15031","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15032","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15033","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15034","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15035","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15036","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15037","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15038","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15039","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15040","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15041","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15042","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15043","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15044","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15045","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15046","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15047","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15048","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15049","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1505","C02AB02","METHYLDOPA (RACEMIC)","24:08.16","CENTRAL ALPHA-AGONISTS"
"15050","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15051","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15052","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15053","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15054","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15055","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15056","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15057","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15058","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15059","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1506","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"15060","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15061","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15062","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15063","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15064","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15065","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15066","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15067","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15068","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15069","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1507","A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"15070","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15071","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15072","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15073","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15074","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15075","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15076","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15077","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15078","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15079","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15080","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15081","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15082","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15083","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15084","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15085","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15086","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15087","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15088","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15089","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1509","N07BB02","CALCIUM CARBIMIDE","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS"
"15090","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15091","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15092","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15093","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15094","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15095","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15096","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15097","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15098","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15099","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"151","J01CE08","BENZATHINE BENZYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS"
"1510","S01AA07","FRAMYCETIN","52:04.04","ANTIBACTERIALS"
"15100","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"15102","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS"
"15103","A12CB02","ZINC GLUCONATE","88:29.00*","MINERALS"
"15109","N02BA51","ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS","28:08.04.24","SALICYLATES"
"15109","N02BA51","ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS","28:08.08","OPIATE AGONISTS"
"1511","D05AA","TARS","84:32.00","KERATOPLASTIC AGENTS"
"15110","C09AA05","RAMIPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS"
"15111","C09AA05","RAMIPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS"
"15112","C09AA05","RAMIPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS"
"15113","C09AA05","RAMIPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS"
"15114","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"15116","A06AC01","ISPAGHULA (PSYLLA SEEDS)","56:12.00","CATHARTICS AND LAXATIVES"
"15117","A03FA02","CISAPRIDE","56:32.00","PROKINETIC AGENTS"
"15119","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1512","J01CE02","PHENOXYMETHYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS"
"15120","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"15121","R03CC02","SALBUTAMOL","12:12.00","SYMPATHOMIMETIC (ADRENERGIC) AGENTS"
"15122","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"15123","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"15124","R03CC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"15125","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS"
"15126","C01BA01","QUINIDINE","24:04.04.04","CLASS IA ANTIARRYTHMICS"
"15127","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15128","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15129","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1513","J01CE02","PHENOXYMETHYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS"
"15130","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15131","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15132","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15133","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15134","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15135","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15136","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15137","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15138","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15139","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"1514","D11AC06","POVIDONE-IODINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"15141","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15142","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15143","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15144","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15145","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15146","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15147","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15148","D02AC","SOFT PARAFFIN AND FAT PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS"
"15149","D02AE01","CARBAMIDE","84:28.00","KERATOLYTIC AGENTS"
"15150","C07AB03","ATENOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"15151","C07AB03","ATENOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"15152","J01CF02","CLOXACILLIN","08:12.16.12","PENICILLINASE-RESISTANT PENICILLINS"
"15153","J01CF02","CLOXACILLIN","08:12.16.12","PENICILLINASE-RESISTANT PENICILLINS"
"15154","M01AB05","DICLOFENAC","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS"
"15155","M01AB05","DICLOFENAC","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS"
"15156","J01CA01","AMPICILLIN","08:12.16.08","AMINOPENICILLINS"
"15157","J01CA01","AMPICILLIN","08:12.16.08","AMINOPENICILLINS"
"15159","A11CA02","BETA-CAROTENE","88:04.00","VITAMIN A"
"15160","A11JA","COMBINATIONS OF VITAMINS","88:28.00","MULTIVITAMIN PREPARATIONS"
"15161","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS"
"15162","L02AE01","BUSERELIN","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS"
"15164","P01BA01","CHLOROQUINE","08:30.08","ANTIMALARIALS"
"15165","A12AA04","CALCIUM CARBONATE","40:12.00","REPLACEMENT PREPARATIONS"
"15166","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"15167","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"15168","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"15169","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"1517","D08AG02","POVIDONE-IODINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"15170","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15171","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"15174","","","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"15175","","","88:28.01*","VITAMINS & MINERALS"
"15178","C07BA05","PROPRANOLOL AND THIAZIDES","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"15178","C07BA05","PROPRANOLOL AND THIAZIDES","40:28.20","THIAZIDE DIURETICS"
"15179","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS"
"1518","D08AX05","ISOPROPANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"15180","C07BA05","PROPRANOLOL AND THIAZIDES","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"15180","C07BA05","PROPRANOLOL AND THIAZIDES","40:28.20","THIAZIDE DIURETICS"
"15181","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS"
"15182","R05DA03","HYDROCODONE","48:08.00","ANTITUSSIVES"
"15183","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15184","A01AD11","VARIOUS","52:16.00","LOCAL ANESTHETICS"
"15185","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15186","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15187","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15188","","","92:02.00*","HOMEOPATHIC PRODUCTS"
"15189","","","92:02.00*","HOMEOPATHIC PRODUCTS"
